(ABCDW,0.0)	(ABCDG,1.0)	(ABCDV,1.0)	(ABCEW,1.0)	(ABCDQ,1.41421356237)	(ABCHW,1.41421356237)	(ABCDE,1.41421356237)	(ABCDT,1.41421356237)	(ABCDF,1.41421356237)	(ABCEG,1.41421356237)	(ABCEV,1.41421356237)	9
(ABCDV,0.0)	(ABCEV,1.0)	(ABCDW,1.0)	(ABCDT,1.0)	(ABCDF,1.0)	(ABCDP,1.41421356237)	(ABCHV,1.41421356237)	(ABCDG,1.41421356237)	(ABCEW,1.41421356237)	(ABCDZ,1.41421356237)	(ABCGV,1.41421356237)	66
(ABCDEFIMNO,0.0)	(ABCDFGIMNO,1.73205080757)	(ABCDEFHIJK,2.0)	(ABCDFGILNO,2.0)	(ABCDEFHIKM,2.2360679775)	(ABCDFGLMNO,2.2360679775)	(ABCDFHIMNO,2.2360679775)	(ABCDEFIKMN,2.2360679775)	(ABCDEFIKNR,2.44948974278)	(ABCDEILMNO,2.44948974278)	(ABCDFHILNO,2.44948974278)	1
(BCDFHNOQY,0.0)	(BCDFMNOQW,2.2360679775)	(BCDFMNOPU,2.2360679775)	(BCDFMNORS,2.44948974278)	(ACDFILNQW,2.82842712475)	(BCDFILNOQ,2.82842712475)	(BCDFHMNOR,3.16227766017)	(ACDFILNOX,3.16227766017)	(BCDFNOQRS,3.31662479036)	(BCDFILMNO,3.31662479036)	(ACDFIMNOX,3.31662479036)	1
(BCDFMR,0.0)	(BCDFIR,1.0)	(BCDFHR,1.41421356237)	(BCDFIZ,1.41421356237)	(BCDFMX,1.41421356237)	(BCDFIX,1.73205080757)	(BCDFHZ,1.73205080757)	(ACDFIR,1.73205080757)	(BCDFIQ,1.73205080757)	(BCDFMN,1.73205080757)	(BCDFIN,2.0)	1
(AY!%,0.0)	(AQY%,2.2360679775)	(AQY!,2.44948974278)	(ACQ#,2.82842712475)	(ABC!,2.82842712475)	(AIQV,3.0)	(QWY!,3.0)	(ACDE,3.0)	(ABCE,3.0)	(ACEG,3.0)	(ACQW,3.16227766017)	58
(ABCDEFGIKLNOQ,0.0)	(ABCDEFGIKMNO$,2.44948974278)	(ABCDEFIJKMNOQ,2.44948974278)	(ABCDEFGIKLMNO,2.64575131106)	(ABCDEFIJKMNOT,2.82842712475)	(ABCDEFIKLMNOQ,2.82842712475)	(ABCDEFIKLMNOT,3.16227766017)	(ABCDEFHIKLMNO,3.31662479036)	(ABCDEFGHIJKRS,3.31662479036)	(ABCDEFIKLMNOV,3.31662479036)	(ABCDEFIKLMNOZ,3.31662479036)	1
(BCDEFGIJKT,0.0)	(BCDEFGHJKT,1.0)	(BCDEFGIJKQ,1.41421356237)	(BCDEFGIJKR,1.41421356237)	(BCDEFGHJKW,1.73205080757)	(BCDEFHIJKT,2.0)	(BCDEFGHIJT,2.0)	(BCDEFGHIKR,2.2360679775)	(BCDEFGHIKQ,2.2360679775)	(BCDEFGIKMR,2.2360679775)	(BCDEFGIKMN,2.44948974278)	1
(BCDEFGIJKR,0.0)	(BCDEFGIJKT,1.41421356237)	(BCDEFGIJKQ,1.41421356237)	(BCDEFGHJKT,1.73205080757)	(BCDEFGIKMR,1.73205080757)	(BCDEFGHIKR,1.73205080757)	(BCDEFGHJKW,1.73205080757)	(BCDEFGIJRS,2.0)	(BCDEFGHIKQ,2.2360679775)	(BCDEFGIMNR,2.2360679775)	(BCDEFGIKRS,2.2360679775)	2
(BCDEFGIJKQ,0.0)	(BCDEFGIJKT,1.41421356237)	(BCDEFGIJKR,1.41421356237)	(BCDEFGHIKQ,1.73205080757)	(BCDEFGHJKW,1.73205080757)	(BCDEFGHJKT,1.73205080757)	(BCDEFGIJRS,2.0)	(BCDEFHIJKQ,2.0)	(BCDEFGHIKR,2.2360679775)	(BCDEFGIKRS,2.2360679775)	(BCDEFGIKMR,2.2360679775)	1
(ABCDFILNO,0.0)	(ABCDFIMNO,1.0)	(ABCDFHMNO,1.41421356237)	(ABCDGIMNO,1.41421356237)	(ABCDFILMO,1.41421356237)	(ABCDFILMN,1.73205080757)	(ABCDFLMNO,1.73205080757)	(ABCDFIMNW,1.73205080757)	(ABCDFIMNS,2.0)	(ABCDFIMNZ,2.0)	(ABCDFILNQ,2.0)	15
(BEJ,0.0)	(CEJ,1.0)	(BEK,1.0)	(CEH,1.41421356237)	(CGJ,1.41421356237)	(BCJ,1.41421356237)	(BIN,1.73205080757)	(BEG,1.73205080757)	(BIZ,1.73205080757)	(BCH,1.73205080757)	(BCZ,1.73205080757)	6
(BEK,0.0)	(BEJ,1.0)	(CEJ,1.41421356237)	(BEG,1.41421356237)	(CEG,1.73205080757)	(BEQ,1.73205080757)	(BCJ,1.73205080757)	(CGJ,1.73205080757)	(CDI,1.73205080757)	(BCI,1.73205080757)	(CEH,1.73205080757)	1
(BCDEFGILMNOV,0.0)	(BCDEFGILMNOR,1.0)	(BCDEFGILMNOT,1.0)	(BCDEFGILMNOW,1.0)	(BCDEFIKLMNOV,2.0)	(BCDEFGILMNO$,2.0)	(BCDEFGIJMNOZ,2.0)	(BCDEFGHJMNOR,2.0)	(BCDEFIKLMNOR,2.2360679775)	(BCDEFIJLMNOV,2.2360679775)	(BCDEFIJLMNOR,2.44948974278)	5
(BCDEFGILMNOW,0.0)	(BCDEFGILMNOV,1.0)	(BCDEFGILMNOT,1.41421356237)	(BCDEFGILMNOR,1.41421356237)	(BCDEFGHJMNOR,2.2360679775)	(BCDEFGILMNO$,2.2360679775)	(BCDEFIKLMNOV,2.2360679775)	(BCDEFGIJMNOZ,2.2360679775)	(BCDEFIJLMNOV,2.44948974278)	(BCDEFHILMNOQ,2.44948974278)	(BCDEFIKLMNOR,2.44948974278)	1
(BCDEFGILMNOT,0.0)	(BCDEFGILMNOV,1.0)	(BCDEFGILMNOW,1.41421356237)	(BCDEFGILMNOR,1.41421356237)	(BCDEFGILMNO$,1.73205080757)	(BCDEFGHJMNOR,2.2360679775)	(BCDEFGIJMNOZ,2.2360679775)	(BCDEFIKLMNOV,2.2360679775)	(BCDEFHILMNOQ,2.44948974278)	(BCDEFIJLMNOV,2.44948974278)	(BCDEFIKLMNOR,2.44948974278)	1
(ABCDEFGIKNRS,0.0)	(ABCDEFGIKMRS,1.41421356237)	(ABCDEFGIJKRS,1.73205080757)	(ABCDEFGHIKRS,2.0)	(ABCDEFGIKRSZ,2.44948974278)	(ABCDEFIKMNRS,2.44948974278)	(ABCDEFHIJKRS,2.64575131106)	(ABCDEFGHIJKZ,2.82842712475)	(ABCDEFGIKMNO,2.82842712475)	(ABCDEFHIJKRT,3.16227766017)	(ABCDEFGIKLMN,3.16227766017)	1
(BEG,0.0)	(CEG,1.0)	(BDE,1.41421356237)	(BDF,1.41421356237)	(BCG,1.41421356237)	(CDG,1.41421356237)	(BEK,1.41421356237)	(ADG,1.73205080757)	(BCE,1.73205080757)	(BEQ,1.73205080757)	(BCF,1.73205080757)	6
(ABCDPTU,0.0)	(ABCDPQU,1.41421356237)	(ABCDHPU,1.73205080757)	(ABCDHPW,2.0)	(ABCDFPU,2.0)	(ABCDHPT,2.0)	(ABCDETV,2.2360679775)	(ABCDGPU,2.2360679775)	(ABCDHQY,2.44948974278)	(ABCEHQW,2.44948974278)	(ABCDFQW,2.44948974278)	4
(ACDEFIK,0.0)	(ABDEFIK,1.0)	(BCDEFIK,1.41421356237)	(ACDEGHK,1.41421356237)	(BCDEFIJ,1.73205080757)	(BCDEFHK,1.73205080757)	(BCDEFJK,2.0)	(BCDEGHK,2.0)	(BCDEFHI,2.0)	(BCDEFIN,2.0)	(BCDEFHJ,2.0)	10
(ABCDFIMPU,0.0)	(ABCDFHIPU,1.41421356237)	(ABCDFIMRS,1.73205080757)	(ABCDFGIPU,2.0)	(ABCDFINRS,2.2360679775)	(ABCDFIPTU,2.2360679775)	(ABCDFIMNW,2.2360679775)	(ABCDFIMNQ,2.2360679775)	(ABCDFIPRU,2.2360679775)	(ABCDFHIX\,2.2360679775)	(ABCDFHIQY,2.2360679775)	6
(BEQ,0.0)	(CEQ,1.0)	(BCQ,1.41421356237)	(CDQ,1.41421356237)	(BIQ,1.41421356237)	(AEQ,1.41421356237)	(BEG,1.73205080757)	(CDP,1.73205080757)	(BEK,1.73205080757)	(ADQ,1.73205080757)	(BDE,1.73205080757)	2
(CDFGILMNO,0.0)	(CDEFILMNO,1.73205080757)	(BDEFILMNO,2.0)	(ABDFILMNO,2.2360679775)	(ACDFILMNO,2.44948974278)	(BCDFILMNO,2.44948974278)	(CDEFGILNO,3.0)	(BCDFGHMNO,3.16227766017)	(CDEFIMNOR,3.31662479036)	(ACDFGIMNO,3.31662479036)	(ABCDFLMNO,3.31662479036)	1
(BIRZ,0.0)	(BIRS,1.41421356237)	(CIRS,1.73205080757)	(AISZ,1.73205080757)	(BCJZ,2.0)	(AIRS,2.0)	(BCDX,2.44948974278)	(ACRS,2.44948974278)	(BCGJ,2.44948974278)	(AIQV,2.44948974278)	(BQVW,2.44948974278)	1
(BIRS,0.0)	(CIRS,1.0)	(AIRS,1.41421356237)	(BIRZ,1.41421356237)	(BQVW,2.0)	(ACRS,2.0)	(BCJW,2.2360679775)	(BCQW,2.2360679775)	(AISZ,2.2360679775)	(BCJQ,2.2360679775)	(AQVW,2.44948974278)	19
(BCDFINRS,0.0)	(BCDFIMRS,1.41421356237)	(BCDFHMRS,1.73205080757)	(ACDFIMRS,2.0)	(BCDFGHRS,2.2360679775)	(BCDFMNOQ,2.44948974278)	(ACDFHIRS,2.44948974278)	(BCDFMNOR,2.44948974278)	(BCDFGIRS,2.44948974278)	(BCDFIMNQ,2.44948974278)	(BCDFHIVZ,2.64575131106)	1
(BCDEFKRS,0.0)	(BCDEFJRS,1.0)	(BCDEFIRS,1.0)	(BCDEFGRS,1.41421356237)	(BCDEFIRV,1.73205080757)	(BCDFGIRS,2.0)	(BCDEFIJR,2.0)	(BCDEFIVZ,2.0)	(BCDEFIKS,2.0)	(BCDEFIJK,2.2360679775)	(BCDEGHVW,2.2360679775)	1
(BIMRS,0.0)	(BIMNV,2.2360679775)	(BCEJQ,2.44948974278)	(BCEQW,2.44948974278)	(BDFRS,2.44948974278)	(BIMNO,2.44948974278)	(CDFRS,2.64575131106)	(BCGJQ,2.64575131106)	(BCDFR,2.64575131106)	(BCEQV,2.64575131106)	(BCDQW,2.64575131106)	1
